sentences_ref,words_ref,sentences_intro,words_intro,sentences_mat,words_mat,sentences_conc,words_conc
1,1,4,72,37,667,22,268
12,229,26,592,44,530,80,859
14,196,69,1237,131,2338,182,4029
8,185,12,274,53,1281,333,1912
14,248,20,444,105,1673,170,3245
11,212,30,705,64,936,196,2277
16,202,22,488,30,586,96,1627
13,276,12,311,57,1308,242,2178
7,149,45,878,64,1104,97,2488
10,217,18,406,50,1101,130,1696
16,251,11,303,47,782,60,1427
10,296,16,563,54,1133,58,1820
17,225,20,524,59,1190,117,2343
11,261,14,415,25,555,24,606
7,128,9,199,15,386,35,548
6,129,35,818,203,4261,7,134
10,262,16,368,70,1201,122,2619
15,252,11,328,42,715,93,1861
6,258,21,509,79,1705,83,1164
17,242,18,465,69,1410,66,1137
9,205,32,746,140,2170,95,2274
19,251,47,811,56,731,140,1721
8,155,20,447,33,585,63,1462
10,159,9,191,43,992,66,1682
7,213,33,748,36,819,166,3423
13,204,28,735,51,1131,103,2486
9,225,15,429,99,2343,162,4261
5,136,13,374,56,1480,46,1425
14,273,27,458,41,691,112,2097
9,183,23,597,44,687,71,1988
21,421,45,1028,97,1586,109,2299
7,170,11,303,18,518,99,1932
7,169,18,437,36,672,93,2307
12,229,10,186,59,1008,81,1392
9,242,23,480,62,1329,65,1295
18,279,32,931,36,782,34,852
12,266,29,888,33,824,68,3324
8,202,31,641,17,252,149,2679
11,221,11,298,45,995,158,1759
11,228,33,773,51,714,50,1268
9,202,29,803,26,453,84,2317
11,206,26,566,13,234,114,1855
11,263,20,422,93,1650,249,4481
9,257,20,638,30,481,41,1133
13,266,20,518,40,708,41,1131
12,168,29,504,26,358,137,2927
10,196,20,410,38,582,85,1826
8,140,3,43,2,26,28,476
11,215,17,585,46,867,108,2669
11,250,25,613,104,1276,51,1227
10,238,25,584,61,1315,82,1914
12,296,21,546,50,878,100,2398
7,131,15,402,25,573,68,1571
10,139,24,535,65,1163,62,908
7,255,33,891,39,845,6,191
12,213,24,590,33,530,27,609
13,226,30,905,76,1502,179,2663
16,253,25,593,72,1141,57,1324
9,223,15,337,29,566,93,2153
10,134,35,615,105,1828,65,955
17,347,46,1094,59,907,71,1604
10,230,33,820,53,1005,110,1901
7,176,9,193,32,856,23,757
9,234,40,989,24,336,52,1399
8,176,16,405,53,1138,103,1729
11,175,22,567,55,1339,46,1209
14,218,14,331,75,1654,36,606
16,252,17,339,85,1302,80,1823
7,148,14,372,31,613,14,415
14,264,18,395,32,600,136,2963
7,173,54,1276,75,1319,132,2406
7,150,29,728,99,1905,102,2639
9,223,7,159,43,734,31,812
18,247,14,338,63,1227,78,1386
