sentences_ref,words_ref,sentences_intro,words_intro,sentences_mat,words_mat,sentences_conc,words_conc
7,251,16,365,30,761,28,789
7,154,42,1072,52,993,67,1997
9,175,36,747,47,787,122,3021
15,199,29,477,40,619,99,1946
10,248,25,589,62,983,102,2636
11,264,19,473,39,748,70,1816
9,244,19,439,57,1181,71,2130
12,245,25,604,23,243,146,3089
11,237,19,459,45,905,160,4126
11,262,36,793,34,472,137,2756
11,220,28,551,59,1065,156,3488
14,252,13,319,46,875,87,1767
10,253,32,877,39,612,124,2340
5,68,20,527,38,920,184,2141
14,252,20,415,54,885,44,968
11,260,34,852,30,532,101,2541
10,202,32,820,34,709,92,2313
9,188,22,559,25,493,55,1262
19,237,12,277,37,683,61,1223
13,199,14,328,47,717,69,1624
10,217,18,395,128,2558,7,174
13,256,17,335,25,375,58,1141
15,291,15,339,22,495,85,1785
12,238,31,688,91,1433,56,1338
10,214,20,515,65,1332,84,1789
11,200,13,344,40,799,127,2645
8,132,13,324,55,916,151,2426
9,178,29,745,79,1409,69,1905
16,244,18,395,40,837,79,1959
11,207,35,717,48,607,134,4459
14,243,14,282,80,1654,63,1475
15,259,22,605,26,452,56,1501
12,196,3,48,4,59,100,1942
10,153,24,557,81,1323,73,2205
8,204,14,315,74,1550,133,3226
9,199,18,543,60,1093,170,3440
10,229,35,812,24,386,33,878
8,233,23,644,34,602,56,1638
9,166,25,328,27,476,46,604
11,200,22,542,47,983,120,2644
9,205,35,770,61,942,105,2607
11,287,44,1060,81,1613,169,4402
12,251,23,591,69,1270,36,1108
14,272,21,504,103,1710,130,3026
8,217,24,640,35,734,56,1560
14,239,14,347,32,727,40,927
7,169,22,683,66,1453,63,1736
11,258,26,655,22,425,123,2816
9,194,21,597,34,641,80,2487
9,212,24,551,41,647,40,1257
10,171,14,393,32,616,119,2884
10,199,29,858,82,1910,75,1790
8,200,29,620,101,2675,6,211
7,121,30,609,110,967,77,1555
15,249,13,268,43,902,144,2612
12,236,15,403,49,789,104,2308
8,253,13,343,74,1170,120,3021
12,233,12,293,55,928,163,2525
8,233,20,442,22,561,77,2038
11,258,21,486,24,412,175,4074
7,153,11,263,73,1192,91,2313
8,178,34,587,39,697,51,861
7,179,15,293,41,744,58,1448
8,165,21,619,17,245,53,1305
13,260,23,475,39,965,132,2427
10,201,20,427,35,649,53,1175
13,262,18,425,61,1239,19,390
10,256,17,483,27,510,45,1210
23,357,21,508,35,696,78,2001
18,263,22,493,34,757,61,1406
10,154,7,138,39,737,52,1158
6,159,45,1087,50,959,160,3531
11,228,16,390,43,853,62,1712
8,183,19,485,60,1445,247,1624
12,232,19,408,51,851,362,2696
9,220,26,800,45,1007,106,2779
13,253,26,597,26,508,73,1562
9,188,17,355,55,1156,67,1499
17,284,27,637,44,728,310,3457
17,281,12,284,35,644,8,121
10,221,25,664,35,672,79,1469
8,179,23,548,33,750,104,2298
8,135,24,623,42,924,100,1871
6,118,18,405,35,560,82,1864
8,143,21,390,82,893,73,1498
12,206,15,341,69,1279,63,1663
6,161,22,483,86,2102,95,1863
15,235,11,259,53,1295,356,2411
18,245,17,366,4,55,65,1356
26,395,28,656,87,1202,190,4891
10,261,22,590,104,2164,8,185
10,240,37,927,73,1392,83,1908
11,169,22,429,39,676,91,1448
11,226,37,643,133,2187,230,3496
10,168,23,529,41,833,58,1282
7,192,24,599,97,1974,119,2925
9,170,20,581,52,1043,102,2669
11,199,15,445,42,959,26,885
1,1,27,700,49,907,143,2918
14,254,16,356,62,1291,106,2252
13,247,28,684,30,556,221,3651
12,193,29,678,73,1462,227,1835
7,163,11,288,108,2013,103,2440
14,248,25,491,52,822,62,1354
7,147,18,419,56,957,62,1307
15,318,33,923,31,607,241,4852
13,228,17,466,56,822,87,1966
12,213,27,637,58,915,103,2449
10,194,25,533,70,1462,21,705
12,248,44,1021,73,1188,208,4265
16,215,6,86,24,508,43,679
8,93,34,576,86,1507,74,1689
11,255,29,728,32,590,32,911
9,156,5,97,28,551,144,3195
13,194,15,328,56,962,110,1654
10,238,28,754,117,1813,78,1837
13,220,31,662,56,793,82,1526
8,231,13,353,116,2414,111,3238
11,264,26,844,80,1459,73,2169
9,229,18,521,126,2488,498,6378
8,152,14,333,67,1227,49,1427
1,1,25,578,23,410,129,2625
9,154,31,743,42,747,42,1009
9,204,13,327,44,913,81,1939
7,228,14,441,52,867,135,3715
7,156,11,317,50,730,4,67
6,144,26,691,101,1505,118,3111
7,164,18,458,63,1157,164,2952
16,258,36,907,97,1356,263,3660
17,241,18,419,44,805,151,2714
14,297,32,650,99,1766,119,2478
10,227,23,533,76,1376,47,1222
11,246,21,593,52,860,128,3885
11,244,31,637,52,977,86,1770
21,242,12,336,36,654,83,1900
13,241,23,470,50,1034,153,2396
11,211,36,942,27,408,47,1134
12,193,13,272,173,1111,84,1726
14,228,18,439,57,1239,88,1636
12,152,20,412,39,639,170,1589
1,1,17,454,18,416,38,682
8,182,13,324,40,740,31,797
13,261,8,142,25,409,68,1191
6,158,16,422,39,840,95,2086
7,121,20,502,22,315,43,1120
16,213,16,381,15,339,63,1238
7,246,30,573,61,1377,361,4730
5,119,22,566,111,2444,7,138
14,196,17,370,19,215,61,1297
9,175,19,521,26,577,58,1473
10,198,16,412,43,548,156,1729
14,256,27,668,37,792,46,1249
8,153,30,652,45,510,234,3073
20,246,12,249,44,830,48,1001
8,157,24,668,28,550,44,977
10,194,17,496,193,2464,187,4847
9,183,16,439,54,1495,111,2812
9,206,19,431,51,827,90,2455
10,201,21,576,42,796,34,1014
11,271,23,620,30,542,153,3311
8,207,12,317,45,940,125,3511
8,153,22,596,43,939,145,3151
12,191,35,849,90,1536,172,2760
10,190,19,467,70,1347,62,1325
10,198,16,435,65,1335,513,2026
9,228,14,370,76,1285,240,4525
9,219,33,670,85,1653,47,1201
11,196,24,518,102,1694,203,3776
7,115,9,172,15,294,61,1350
7,127,18,466,34,584,46,1039
11,255,28,696,122,2626,194,2944
10,237,26,532,56,1024,145,2668
11,302,27,715,72,951,101,2323
10,248,18,493,23,491,80,1946
8,204,25,643,63,1418,89,2850
27,305,13,384,29,637,25,724
8,190,20,505,93,1805,86,2068
10,229,39,1030,43,825,101,2389
15,329,19,547,2,4,100,2748
13,250,17,318,7,141,118,2584
6,146,34,845,134,2329,61,657
9,191,26,614,57,1084,88,2148
7,138,22,602,29,627,82,1701
18,264,3,35,4,59,13,177
13,245,24,607,2,7,94,2077
10,184,27,377,108,1688,341,5875
11,229,14,343,32,633,97,1980
11,203,21,379,23,354,44,709
8,205,20,513,22,505,62,1779
11,164,21,436,16,304,34,614
8,181,26,351,10,196,135,2533
11,271,45,1166,75,1266,170,3757
9,177,38,816,68,1003,80,1983
10,159,20,412,133,2010,195,3388
11,232,17,444,112,1987,118,2060
15,253,20,405,116,2216,255,4575
11,267,23,513,151,2718,231,3359
7,143,20,416,60,1169,67,1845
15,260,24,505,89,1518,146,2745
17,221,14,267,58,929,66,892
20,246,15,354,9,116,164,2738
15,231,51,909,195,3336,14,211
8,164,23,586,57,942,120,2229
6,147,27,884,110,2707,7,180
11,248,29,691,49,742,241,3874
9,241,9,288,63,1145,72,1893
10,218,27,658,42,678,106,2182
8,222,12,371,17,389,124,2613
14,254,15,387,76,1289,117,2638
6,143,18,441,61,993,138,2868
9,183,29,650,69,1373,35,810
9,244,35,887,51,1003,49,1130
12,184,37,774,62,1285,98,2116
11,230,40,865,251,6113,34,828
12,263,34,734,141,2408,99,2474
11,154,41,652,65,1069,127,2002
11,266,3,65,4,97,29,934
12,271,15,535,15,403,42,1357
14,214,30,792,41,820,136,2928
7,172,15,358,55,912,127,2684
10,203,19,488,44,766,109,2404
8,122,39,825,42,650,71,1323
7,180,25,572,40,748,51,1343
11,199,22,482,134,2124,86,1492
8,108,24,530,53,796,87,1709
9,179,9,213,28,564,58,1455
9,199,23,574,121,2540,201,4422
7,121,19,451,38,699,64,1284
12,244,44,868,55,1051,223,5257
9,244,21,469,73,1187,145,2821
13,219,27,497,29,725,123,2268
8,165,18,442,45,710,91,2016
7,158,7,170,50,1147,102,2584
12,264,27,687,22,346,48,978
8,178,39,984,158,3457,34,545
11,260,20,605,68,1195,697,4786
11,260,29,747,90,1506,99,2067
12,212,13,356,15,454,409,5083
10,189,17,408,45,951,135,2538
8,252,32,1024,47,825,92,3100
12,207,21,434,26,472,79,1451
9,234,26,494,101,1630,158,3381
6,206,43,1322,86,1891,386,3474
8,136,32,678,117,1103,55,1258
11,251,32,831,54,883,81,2234
8,129,13,299,24,612,30,598
7,132,29,513,116,2438,267,3569
11,267,29,824,179,2068,81,2054
12,262,18,457,100,1939,264,7163
12,235,23,858,38,849,37,1231
6,143,12,345,37,731,387,2383
6,151,19,369,13,193,74,1749
12,275,12,279,38,673,100,2131
15,239,16,362,55,1212,86,1792
18,290,30,753,44,1018,63,1255
12,230,46,1147,68,1125,82,2070
12,273,16,479,35,662,158,4127
11,251,22,508,28,452,114,2355
13,264,10,218,46,765,106,2247
11,187,25,567,2,13,101,2621
15,271,22,409,2,12,134,2325
16,236,28,659,41,875,49,1014
13,157,16,349,30,512,42,748
12,209,27,481,33,583,56,1233
8,207,28,647,52,1066,132,2972
16,249,14,367,36,809,75,1920
7,159,22,518,30,548,25,652
8,168,29,682,39,526,65,1433
9,195,30,627,34,556,107,2674
9,221,21,521,43,716,179,3263
8,188,20,515,29,554,38,1046
9,182,24,492,144,2203,111,2329
13,253,16,388,40,876,46,1349
27,443,17,320,30,476,121,2150
18,235,10,272,95,2143,7,101
8,204,22,567,64,1169,62,1643
6,147,37,778,63,936,70,1626
13,220,27,727,72,1247,94,2024
11,255,21,467,23,441,151,3426
8,138,16,472,48,990,106,2429
27,221,45,451,5,55,114,1387
17,190,25,610,44,1030,75,1738
14,264,35,901,45,960,115,2952
9,176,31,693,43,641,138,2948
8,225,16,463,121,2054,166,2618
12,256,17,460,73,1220,71,2170
10,172,14,366,39,639,55,1165
8,207,19,360,72,1084,38,887
10,189,22,459,20,334,66,1225
8,150,19,430,91,1781,132,2553
14,269,14,348,88,1633,41,1171
16,206,28,521,104,1746,140,2691
6,153,18,473,153,2554,229,5059
10,226,29,642,33,604,118,2488
1,1,5,100,28,496,62,1304
10,218,26,655,72,1462,61,1530
8,194,37,837,48,669,108,2497
9,205,18,495,27,456,220,3777
5,123,5,101,74,1101,550,3039
6,196,28,705,32,534,32,854
10,259,7,169,80,1282,56,1456
11,248,15,454,84,1887,168,4251
12,255,31,695,20,324,49,1203
9,228,32,776,37,615,150,4046
14,196,47,780,76,1198,135,2441
8,156,20,520,43,922,82,2192
12,249,19,445,64,1536,11,312
9,217,24,620,38,664,51,1436
11,239,25,575,49,1164,81,1765
11,176,41,926,57,901,43,727
17,250,18,388,82,1399,45,987
11,234,18,416,74,1243,124,2908
8,204,15,392,87,1853,86,1930
9,211,24,655,58,1333,30,921
10,147,18,372,58,1051,110,2286
11,294,62,1466,51,1026,14,375
10,235,28,786,56,852,234,4081
10,252,10,287,59,1293,360,1712
11,218,15,449,65,1931,88,2547
16,203,40,543,16,192,164,2200
11,267,17,463,118,1685,82,2254
8,202,22,585,97,2405,81,2308
5,91,19,403,71,1627,213,3281
14,282,52,1229,158,1511,107,2189
9,251,23,630,32,590,75,2103
19,242,8,199,21,398,82,941
23,250,14,305,40,750,161,2717
7,215,38,1223,40,645,74,1997
16,236,42,745,60,845,92,1828
9,251,17,365,33,741,77,2003
12,253,18,472,96,1948,66,1501
8,248,13,335,41,783,48,1228
7,138,13,300,35,541,46,1061
14,257,3,42,4,61,10,193
19,195,18,391,36,713,117,2271
10,271,31,740,155,3322,10,269
8,160,23,401,68,1133,69,1500
16,275,46,1114,50,991,154,2847
20,207,20,365,42,887,208,2304
7,126,18,337,34,705,24,600
7,157,12,364,32,603,52,1181
12,220,19,415,63,1186,192,3826
14,237,52,1060,14,268,207,3824
8,196,25,656,46,830,336,3442
9,144,41,1125,49,1179,359,3351
9,176,23,556,123,2394,101,2094
6,131,32,826,119,3038,6,139
13,225,10,229,43,881,81,1586
9,199,28,838,116,2562,114,2740
10,258,20,610,62,1306,78,1908
9,226,12,341,36,588,54,1569
9,201,28,724,62,1442,134,3158
13,286,3,72,4,59,77,2183
10,242,24,623,17,343,40,870
9,154,34,979,82,1602,98,2330
5,132,25,692,6,87,195,4848
11,191,22,447,81,1743,190,4189
18,163,41,1053,76,1420,128,2647
12,298,11,287,36,743,116,3703
13,265,33,655,76,1359,71,1693
19,228,18,397,35,776,123,2042
12,205,13,323,51,1077,35,909
9,229,16,446,16,298,157,1964
9,204,33,907,88,1452,12,292
10,241,14,316,63,864,115,2106
11,291,22,524,92,1974,70,1809
12,221,14,342,66,1012,93,2213
10,240,38,1226,36,579,88,2781
12,225,16,444,27,687,142,1563
15,205,34,747,27,543,46,1308
12,234,11,267,42,779,51,1085
8,202,12,283,88,2085,48,1452
17,254,18,456,98,2025,125,2489
14,249,30,651,42,891,74,1555
11,216,24,424,92,1520,321,5946
10,232,10,210,14,234,36,722
20,417,24,558,52,827,157,3223
11,195,16,326,124,1860,116,2402
12,241,26,635,28,568,272,2970
9,202,23,709,78,1649,73,2100
6,132,20,451,57,1047,73,1578
7,150,23,638,146,2956,100,2560
11,235,15,428,89,1815,140,2705
12,255,22,540,50,1044,84,1721
18,240,17,429,36,722,45,1021
6,117,8,207,47,887,168,4522
13,343,22,663,16,259,48,1194
18,262,27,624,51,890,94,1688
10,229,24,547,63,1095,122,2662
4,79,29,509,49,1078,35,645
12,230,24,592,63,996,116,2223
8,174,26,635,67,1397,5,130
10,169,12,273,31,486,86,1567
16,234,15,364,54,1190,38,919
8,188,26,631,44,765,76,1629
12,282,21,540,69,1407,70,2139
13,250,31,608,66,1012,232,3501
13,249,29,610,58,839,41,956
16,227,15,427,52,995,128,2234
9,265,21,621,63,1145,67,2322
9,199,15,353,33,544,70,1769
12,226,35,736,15,282,168,3037
7,193,26,691,33,536,31,716
14,233,3,28,5,99,8,113
9,233,16,477,107,2228,299,4749
10,260,22,575,48,764,84,1812
4,81,6,101,19,406,15,274
1,1,12,237,15,291,39,997
10,225,24,494,61,1222,129,2751
13,202,21,649,228,3934,110,2741
10,203,26,591,66,1441,213,2130
8,180,17,564,120,2409,144,3733
25,301,9,182,49,908,256,2799
11,238,20,498,43,736,43,1107
5,160,31,886,51,1036,57,1772
26,287,62,1476,81,1603,38,867
19,269,11,218,37,754,67,1365
9,258,26,770,69,1507,105,3090
11,214,15,443,44,1387,42,1527
10,194,14,428,28,702,45,1289
12,205,16,349,26,435,69,1141
9,99,40,564,5,54,76,1374
7,130,38,1017,10,138,84,1531
1,1,8,189,7,198,72,1377
10,200,26,572,79,1533,87,1921
23,268,24,627,48,759,74,1774
6,106,35,763,58,957,109,1954
7,136,39,788,145,2928,12,222
13,256,25,610,94,2040,22,522
22,241,3,33,47,818,47,762
13,219,16,368,47,840,73,1604
10,218,32,916,57,1038,137,4018
8,140,21,469,39,690,84,1582
12,264,25,547,51,974,121,2862
7,184,19,457,45,1085,34,878
14,231,19,334,90,1499,63,1460
6,110,14,330,19,340,51,868
13,236,27,573,23,487,146,3315
19,277,37,614,39,769,226,2260
7,199,26,642,39,804,44,959
14,158,20,417,37,732,135,2043
15,222,25,508,27,796,59,1271
25,304,18,336,77,1433,125,1332
14,253,20,527,96,1861,142,2091
12,239,22,575,102,2251,85,2137
11,244,18,457,53,968,136,3004
9,214,26,704,46,828,77,2107
15,231,19,350,53,1099,102,2006
1,1,3,46,5,118,37,654
8,194,23,705,54,1195,126,4057
12,224,23,478,43,737,103,1967
7,133,12,322,1,1,31,629
13,249,11,286,43,899,99,2053
7,158,21,559,46,759,167,4723
10,258,14,366,37,741,56,1353
9,218,16,406,24,335,52,1237
14,289,7,142,32,569,39,817
12,246,20,439,59,901,95,2058
13,247,21,635,34,775,180,3096
9,203,32,922,70,1201,123,2812
13,250,41,868,80,1173,261,4745
6,107,17,297,32,629,75,1721
17,215,36,655,38,756,284,3708
10,133,18,355,65,1053,221,4269
11,261,27,687,29,456,47,1377
7,190,11,263,33,626,26,555
7,155,15,357,72,1338,113,2584
8,137,18,460,47,735,87,1771
9,222,25,574,25,416,40,1093
9,203,10,191,51,956,82,1767
7,221,29,940,56,1076,55,1622
11,194,9,212,91,2273,226,1029
9,153,3,42,73,1422,48,964
11,191,10,243,48,507,89,1723
9,185,27,722,147,3361,18,424
6,129,17,365,43,838,116,2248
14,256,18,430,26,348,320,4028
7,135,20,483,163,890,7,143
12,246,17,399,7,93,114,2681
16,245,8,221,45,668,75,1382
9,181,18,407,127,2277,59,1433
10,207,49,993,98,1594,108,2409
9,178,14,370,21,508,80,1732
4,105,23,506,102,2070,125,1806
16,243,7,225,105,2266,24,215
12,316,39,929,128,2365,62,1610
8,241,24,681,33,619,56,1980
8,212,37,785,47,952,92,2323
9,203,27,778,71,1107,103,2242
9,164,41,975,22,295,65,1486
10,239,23,576,48,1087,70,1448
5,160,27,711,89,1845,16,377
10,204,13,310,57,1059,68,1554
13,250,13,313,27,449,109,2164
1,1,32,796,61,1568,137,3147
18,220,11,287,51,906,36,1149
10,214,17,351,61,1017,190,3734
13,246,32,772,72,1351,76,1873
7,202,21,576,112,2352,84,2518
10,217,19,428,40,814,49,1545
8,203,21,499,54,985,93,1816
14,256,35,675,108,1695,239,3991
9,229,16,532,38,861,179,2147
8,243,13,348,117,3534,9,338
10,181,18,407,31,629,93,1858
9,180,14,245,52,731,85,1588
8,236,23,637,162,2171,208,4343
8,243,25,661,97,1968,120,2728
10,220,24,629,36,901,89,1981
17,256,21,298,56,875,217,2129
23,252,16,351,38,753,77,1613
6,145,27,653,26,499,60,1604
9,209,49,1342,52,1257,174,2755
17,255,5,99,85,1648,166,2801
10,161,7,177,87,1802,97,2191
9,182,33,646,49,931,201,1907
10,192,49,1066,36,626,124,2689
6,129,15,421,66,1151,35,521
11,192,12,219,25,498,18,369
11,243,29,799,89,2235,105,4536
9,235,37,769,32,667,186,1857
17,251,17,304,58,917,292,4105
9,210,27,704,43,676,182,4455
9,160,21,411,63,1383,108,1935
7,166,16,444,44,729,139,3355
10,254,21,500,49,837,109,1740
10,229,17,403,107,1503,386,3376
10,209,14,376,85,2149,61,1075
7,142,27,733,86,1349,139,4028
9,183,22,490,73,978,73,1703
17,245,12,318,20,439,53,1206
24,263,49,767,188,2221,425,3949
7,149,18,416,28,547,114,2499
11,234,23,504,41,690,59,1331
9,152,14,287,8,190,134,2829
13,258,21,471,37,779,67,1495
10,238,27,754,77,1290,77,2193
11,263,17,448,141,2879,102,3011
8,181,35,1053,59,1447,93,2588
22,253,20,486,38,676,160,2859
10,201,26,629,78,1353,131,2675
11,277,20,568,31,799,123,2514
12,154,17,450,54,987,93,1918
8,203,1,1,47,1010,142,3599
11,225,15,333,74,1308,6,123
9,164,22,583,47,537,123,2368
7,175,9,259,83,1752,738,3296
9,191,7,197,16,331,21,456
13,221,17,413,52,757,91,1843
10,244,17,473,26,570,115,2835
13,268,32,748,58,1093,99,2464
8,192,23,594,28,464,57,1516
8,159,16,573,46,714,40,1020
18,243,18,403,39,709,149,2281
9,189,17,521,87,1405,51,1065
11,248,27,600,69,1242,160,3210
12,269,31,688,77,1342,254,2605
6,153,10,194,32,517,84,1697
11,210,13,341,32,522,115,2658
7,166,20,478,91,1951,60,1665
10,212,8,173,51,1090,77,1488
12,220,55,1389,67,961,124,2450
6,167,22,478,108,2363,79,2032
12,260,3,35,4,92,88,1761
8,163,21,468,125,1811,71,1492
8,145,15,440,20,306,129,3514
7,147,7,209,36,730,93,1697
9,149,9,127,162,2947,59,790
16,222,23,432,85,1093,349,2567
12,189,41,1004,27,487,150,3044
13,264,21,508,75,1491,72,2168
10,210,34,871,40,643,55,1408
10,219,30,627,50,905,43,1010
7,100,18,445,55,1009,69,1307
11,243,21,560,39,767,123,3324
8,182,26,657,12,149,32,810
10,238,20,531,49,694,175,3797
8,151,20,508,33,631,42,911
9,186,17,399,107,1544,79,1671
6,130,22,470,47,973,138,3116
12,343,39,802,63,1182,213,4055
8,232,20,620,2,34,165,5802
10,170,12,390,6,65,71,1380
8,245,14,302,64,878,30,747
11,235,29,645,95,1377,87,2136
11,240,4,87,57,1202,55,1244
8,162,14,347,35,526,60,1032
11,218,32,819,39,698,73,1851
19,221,9,281,80,1910,239,2790
10,177,20,354,50,891,116,2192
11,247,15,373,59,1160,136,2492
15,260,18,448,75,1123,89,1943
10,191,15,344,51,1168,53,1300
5,125,10,231,64,1259,5,117
9,196,34,852,319,5491,15,330
14,267,22,520,25,388,73,1915
8,177,19,422,33,565,107,852
11,312,13,433,152,2158,65,1304
11,305,26,860,106,3212,8,196
8,205,18,457,157,2171,91,2138
11,313,22,510,59,1070,118,2582
13,230,47,1076,97,1939,194,4077
11,206,16,358,90,1567,141,3360
11,203,14,279,26,465,89,1989
6,127,10,204,46,597,183,2601
10,198,20,505,45,647,176,3502
9,191,18,332,115,1974,111,2328
8,208,18,528,30,704,125,2015
1,1,15,380,38,907,68,1656
12,243,28,574,52,1073,81,1484
12,182,20,389,31,444,156,2307
13,247,42,984,60,1390,357,3354
11,289,27,641,65,1258,34,977
10,275,22,498,48,896,168,3048
14,215,36,715,109,1588,142,2530
9,208,25,508,37,524,96,2097
13,219,15,426,81,1524,62,1318
11,224,18,353,58,896,89,1895
10,200,19,484,39,855,43,1143
13,226,13,339,50,1095,69,1688
14,216,13,256,87,1660,97,2234
11,248,16,405,53,880,109,2608
6,185,78,2326,64,1349,115,2805
11,238,2,38,5,87,33,651
10,236,15,464,51,1013,142,2529
12,204,49,762,38,670,165,3565
7,205,12,393,90,2529,17,431
6,153,17,498,49,947,34,1204
10,218,44,1108,176,3336,16,341
12,234,22,671,56,1011,163,3825
27,244,11,302,42,757,77,1671
11,174,12,239,82,1882,49,1007
14,250,17,451,31,620,74,1842
6,151,36,795,153,2919,98,1729
11,137,30,760,42,893,598,3114
6,135,17,441,11,260,38,1022
7,336,16,982,132,7496,88,5454
14,301,21,511,185,3318,239,1687
9,210,15,315,42,647,112,2318
13,228,18,458,80,1383,63,1597
7,158,22,550,48,782,128,2917
10,229,21,439,84,1382,25,638
8,209,9,251,30,532,18,674
11,223,28,619,90,1628,144,2585
6,139,33,913,41,953,58,1446
6,125,6,130,52,1095,85,1951
8,199,9,299,40,697,30,1185
13,240,44,746,84,1503,137,2763
13,219,17,413,65,974,46,1256
9,216,19,466,87,1149,36,987
7,151,32,947,29,555,199,4302
31,251,10,272,40,834,176,2668
11,198,29,590,43,836,137,2881
17,244,11,236,56,940,155,2471
10,168,7,149,28,505,54,1280
12,240,20,419,55,1104,84,1863
10,272,32,706,55,1141,207,6160
11,230,20,370,53,809,180,1487
8,187,30,706,19,482,58,1506
14,220,14,340,51,1105,64,1309
13,232,32,784,98,1714,288,3601
15,235,16,374,46,855,40,900
9,194,18,456,50,1065,48,979
8,141,17,357,32,532,32,827
9,198,16,339,33,541,201,2058
9,230,42,1051,74,1597,119,2729
16,212,13,325,55,1302,4,97
17,185,18,415,70,1159,42,819
10,142,15,358,46,1011,47,1230
9,244,28,886,52,1099,47,1577
8,132,17,333,99,1133,170,1976
12,255,21,490,79,1322,100,2388
8,187,29,734,45,850,73,1920
14,217,29,571,160,2432,173,2432
8,181,25,624,65,1311,138,2902
7,124,20,445,55,1057,137,2370
10,216,14,345,47,995,72,1393
12,268,18,456,21,455,105,2260
8,221,30,1046,75,2194,93,2167
7,142,14,370,68,1358,45,1075
9,206,19,489,46,898,86,1755
6,123,17,487,143,2140,109,3027
7,195,21,763,38,856,97,2802
14,253,20,447,91,1361,372,5831
11,248,20,503,79,1247,165,3324
8,202,27,849,66,1623,80,2265
7,173,21,502,13,232,67,1801
9,159,40,876,124,2001,147,3903
11,206,26,551,15,274,80,1961
12,197,22,505,98,1997,63,1607
7,130,16,441,35,507,65,1279
13,254,31,679,66,1276,48,1257
14,294,23,468,20,412,100,2128
12,199,11,228,60,1446,105,2239
14,143,11,208,53,925,46,1009
10,232,25,679,73,1389,177,3681
20,248,15,440,48,992,100,1818
12,221,25,614,127,1682,38,1040
10,256,34,884,48,1079,143,3505
9,222,41,717,25,515,90,2330
10,204,25,526,74,1341,140,2573
7,128,22,454,33,566,149,1267
9,261,17,565,38,729,56,1643
8,185,13,356,49,948,45,1424
8,155,30,741,41,885,128,3088
13,241,28,611,55,1054,208,3847
12,190,25,548,68,1335,67,1194
11,201,17,356,25,358,94,1553
10,187,28,627,53,1448,64,1438
12,236,23,546,46,1181,70,1757
9,206,9,254,156,2936,98,2360
10,244,14,437,53,1036,12,398
11,195,18,432,68,1237,178,1815
12,186,22,539,125,2799,144,3016
12,280,44,1109,59,970,77,2341
6,119,25,618,130,2178,9,130
11,256,22,428,25,327,217,3176
9,176,13,326,26,399,54,1330
10,195,13,351,16,208,87,2207
7,210,27,765,23,344,49,1603
11,259,24,607,20,334,110,2563
6,155,30,941,103,2413,418,2972
14,250,4,62,41,706,104,1983
6,98,17,452,67,1249,174,3744
10,214,10,241,84,1225,80,1516
8,148,3,92,22,565,37,863
8,135,27,745,196,1709,124,3175
9,189,22,522,47,1046,31,1052
12,237,17,376,53,1028,103,2445
11,236,52,1173,68,1419,70,1765
7,171,16,412,35,661,39,1172
13,302,25,523,22,400,69,1517
16,234,19,527,113,2074,215,5272
11,254,26,600,40,714,60,1764
7,151,4,109,3,41,55,1879
7,145,10,237,186,4098,147,3354
11,269,11,299,24,441,7,169
12,240,23,542,71,1240,128,3043
7,144,15,424,27,469,104,2801
9,200,28,764,52,943,126,2014
11,208,23,521,74,1469,113,2066
11,287,28,597,30,542,90,1347
10,258,24,622,35,1113,122,3054
15,248,9,235,41,876,94,1823
9,247,15,417,46,974,78,2304
9,238,35,839,137,2000,190,4790
9,191,18,380,19,270,137,3031
8,175,8,203,78,1396,76,1641
11,201,20,450,33,588,39,807
21,206,14,326,34,601,74,1552
13,248,4,68,5,76,201,2522
11,199,19,388,70,1096,89,2103
11,222,32,736,92,1439,121,3655
10,220,33,940,67,1412,31,852
10,202,31,709,80,1674,99,1507
11,203,50,1027,26,385,263,4988
6,79,12,252,16,325,51,1193
9,199,8,246,44,848,75,1820
10,219,16,440,45,755,55,1347
13,263,28,691,48,874,158,3539
8,173,40,963,37,746,90,2190
8,152,22,515,35,618,51,1179
12,214,50,1127,130,2417,45,571
10,246,21,510,36,602,213,2957
13,285,26,539,47,864,76,1686
7,177,26,773,81,2312,49,1101
7,154,56,1062,25,338,110,2055
8,154,17,366,26,570,71,1428
11,176,43,885,89,1318,201,4679
11,241,30,699,50,1104,60,1225
12,289,26,575,77,1254,106,2490
11,193,17,501,36,829,85,2237
14,264,25,677,83,1488,75,2028
8,189,7,202,61,1470,71,1660
13,258,27,646,44,670,39,1027
12,242,13,326,21,592,75,2170
7,177,16,464,48,664,72,1715
11,255,34,843,84,1372,131,3625
10,153,26,476,54,856,102,2191
9,200,18,537,43,972,101,2420
13,212,18,353,42,838,100,1485
9,207,12,323,49,748,128,2623
8,150,31,881,33,706,154,2105
13,161,25,460,70,1179,120,1779
6,173,13,320,48,954,50,1360
1,1,19,448,70,1218,353,3337
7,138,30,726,46,828,46,1053
12,266,20,519,45,1081,115,2436
9,201,14,378,60,963,37,955
16,286,10,266,54,1106,422,3233
4,41,11,206,13,316,72,1726
13,344,43,1355,66,1554,208,4689
10,266,5,101,51,937,95,3747
11,293,25,558,58,802,1,3
10,232,23,523,47,748,93,2186
9,178,27,473,114,1737,55,966
10,230,12,318,45,990,81,1902
10,256,36,995,76,1473,135,4014
19,265,12,324,37,733,52,1124
12,231,19,413,44,1089,76,1941
15,225,2,42,6,81,161,3131
9,259,25,679,26,409,73,2055
10,221,22,480,19,421,47,1023
13,240,12,250,57,1291,77,1677
